詞目id,義項id,例句順序,漢字,羅馬字,華語,音檔檔名
12874,17496,1,天邊,thinn-pinn,天邊,12874-2-1
12875,17497,1,做證人替伊平反。,Tsò tsìng-jîn thè i pîng-huán.,做證人為他平反。,12875-1-1
12877,17499,1,伊閣咧講譀古矣。,I koh teh kóng hàm-kóo--ah.,他又在講荒誕不實際的故事了。,12877-1-1
12877,17500,1,伊講的話有夠譀古。,I kóng ê uē ū-kàu hàm-kóo.,他說的話有夠荒唐。,12877-2-1
12878,17501,1,這个想法你敢有贊同？,Tsit ê siūnn-huat lí kám ū tsàn-tông?,這個想法你是否贊同？,12878-1-1
12879,17502,1,我無贊成你的講法。,Guá bô tsàn-sîng lí ê kóng-huat.,我不同意你的說法。,12879-1-1
12880,17503,1,有兩間廠商欲來贊助這擺的表演。,Ū nn̄g king tshiúnn-siong beh lâi tsàn-tsōo tsit pái ê piáu-ián.,有兩間廠商要來贊助這次的表演。,12880-1-1
12881,17504,1,伊出國以前有向逐家辭別。,I tshut-kok í-tsîng ū hiòng ta̍k-ke sî-pia̍t.,他出國之前有向大家辭別。,12881-1-1
12882,17505,1,有厝有轎車，生活就真安定方便。,"Ū tshù ū kiau-tshia, sing-ua̍h tō tsin an-tīng hong-piān.",有房子有車子，生活就很安定方便。,12882-1-1
12883,17506,1,股票、債券攏是有價值的證券。,"Kóo-phiò, tsè-kuàn lóng sī ū kè-ta̍t ê tsìng-kuàn.",股票、債券都是有價值的證券。,12883-1-1
12884,17507,1,辭典是真重要的工具冊。,Sû-tián sī tsin tiōng-iàu ê kang-kū-tsheh.,辭典是很重要的工具書。,12884-1-1
12885,17508,1,伊講的話譀呱呱，敢有人會相信？,"I kóng ê uē hàm-kuā-kuā, kám ū lâng ē siong-sìn?",他說的話很荒唐，會有人相信嗎？,12885-1-1
12886,17509,1,你證明予我看。,Lí tsìng-bîng hōo guá khuànn.,你證明給我看。,12886-1-1
12886,17510,1,提供證明文件。,Thê-kiong tsìng-bîng bûn-kiānn.,提供證明文件。,12886-2-1
12887,17511,1,結婚證書,kiat-hun tsìng-su,結婚證書,12887-1-1
12888,17512,1,伊的面看起來譀浡譀浡。,I ê bīn khuànn--khí-lâi hàm-phu̍h-hàm-phu̍h.,他的臉看起來有點浮腫。,12888-1-1
12889,17513,1,贈送禮品,tsīng-sàng lé-phín,贈送禮品,12889-1-1
12890,17514,1,我聽你咧講啥物譀話！,Guá thiann lí teh kóng siánn-mih hàm-uē!,我才不聽你在說什麼空話！,12890-1-1
12891,17515,1,無證據毋通烏白講。,Bô tsìng-kì m̄-thang oo-pe̍h kóng.,沒證據不可以亂講。,12891-1-1
12892,17516,1,伊去予頭家共伊辭頭路矣。,I khì hōo thâu-ke kā i sî thâu-lōo--ah.,他被老闆炒魷魚了。,12892-1-1
12893,17517,1,贊聲喝好。,Tsàn-siann huah hó.,聲援叫好。,12893-1-1
12894,17518,1,伊決定欲辭職矣。,I kuat-tīng beh sî-tsit--ah.,他決定要辭職了。,12894-1-1
12895,17519,1,人生譀譀，咱著愛看較開咧。,"Jîn-sing hàm-hàm, lán tio̍h-ài khuànn khah khui--leh.",人生是虛幻的，我們凡事都要看開一點。,12895-1-1
12896,17520,1,老大人看報紙愛用譀鏡。,Lāu-tuā-lâng khuànn pò-tsuá ài īng hàm-kiànn.,老人看報紙要用放大鏡。,12896-1-1
12897,17521,1,照鏡,tsiò-kiànn,照鏡子,12897-1-1
12897,17522,1,鏡頭,kiànn-thâu,鏡頭,12897-2-1
12897,17523,1,目鏡,ba̍k-kiànn,眼鏡,12897-3-1
12898,17524,1,咱來比賽射鏢，看啥人較準。,"Lán lâi pí-sài siā-pio, khuànn siánn-lâng khah tsún.",我們來比賽射飛鏢，看誰射得比較準。,12898-1-1
12899,17525,1,石鏨,tsio̍h-tsām,鑿石頭的工具,12899-1-1
12899,17526,1,鏨字,tsām jī,雕刻字,12899-2-1
12899,17527,1,鏨雞肉,tsām ke-bah,剁雞肉,12899-3-1
12899,17527,2,白鏨雞,pe̍h-tsām-ke,白斬雞,12899-3-2
12900,17528,1,窗仔愛總關。,Thang-á ài tsóng kuainn.,窗子全部都要關。,12900-1-1
12900,17529,1,關電火,kuainn tiān-hué,熄燈,12900-2-1
12900,17529,2,關電視,kuainn tiān-sī,關電視,12900-2-2
12900,17530,1,歹人愛掠去關。,Pháinn-lâng ài lia̍h-khì kuainn.,壞人要抓去監禁。,12900-3-1
12900,17531,1,超過暗時十點，店就關矣。,"Tshiau-kuè àm-sî tsa̍p tiám, tiàm tō kuainn--ah.",超過晚上十點，商店就打烊了。,12900-4-1
12900,17532,1,彼間店早就關起來矣。,Hit king tiàm tsá tō kuainn--khí-lâi--ah.,那間店早就倒閉了。,12900-5-1
12901,17533,1,年關,nî-kuan,年關,12901-1-1
12901,17533,2,美人關,bí-jîn-kuan,美人關,12901-1-2
12901,17534,1,關童,kuan-tâng,催請神靈,12901-2-1
12901,17535,1,我予你袂關得。,Guá hōo lí bē-kuan--tit.,我不會被你拐騙。,12901-3-1
12902,17536,1,朋友有難,pîng-iú iú lān,朋友有難,12902-1-1
12903,17537,1,罩霧,tà-bū,起霧,12903-1-1
12903,17537,2,雺霧,bông-bū,霧氣,12903-1-2
12903,17538,1,目睭霧。,Ba̍k-tsiu bū.,眼睛看不清楚。,12903-2-1
12903,17539,1,湯欲霧出來矣，緊共鼎蓋掀起來。,"Thng beh bū--tshut-lâi--ah, kín kā tiánn-kuà hian--khí-lâi.",湯要溢出來了，快把鍋蓋掀開。,12903-3-1
12903,17540,1,含血霧天,kâm-hueh-bū-thinn,含血噴人,12903-4-1
12903,17540,2,霧水,bū-tsuí,以口噴水,12903-4-2
12904,17541,1,關公攑關刀，過五關，斬六將。,"Kuan-kong gia̍h kuan-to, kuè ngóo kuan, tsám lio̍k tsiòng.",關公拿關刀，過五關，斬六將。,12904-1-1
12905,17542,1,伊真關心老大人，定定去養老院拜訪。,"I tsin kuan-sim lāu-tuā-lâng, tiānn-tiānn khì ióng-ló-īnn pài-hóng.",他很關心老人家，常常到養老院拜訪。,12905-1-1
12906,17543,1,用鏨仔雕刻一身佛像。,Iōng tsām-á tiau-khik tsi̍t sian hu̍t-siōng.,用鏨子雕刻一尊佛像。,12906-1-1
12907,17544,1,佇鏡台前梳妝。,Tī kiànn-tâi-tsîng se-tsng.,在梳妝臺前梳妝。,12907-1-1
12908,17545,1,拄著淹水這種代誌，受災戶難免會受氣。,"Tú-tio̍h im-tsuí tsit tsióng tāi-tsì, siū-tsai-hōo lân-bián ē siū-khì.",遇到淹水這種事情，受災戶難免會生氣。,12908-1-1
12909,17546,1,你入來的時，紲手關門。,"Lí ji̍p--lâi ê sî, suà-tshiú kuainn-mn̂g.",你進來的時候，順手關門。,12909-1-1
12910,17547,1,親子關係,tshin-tsú kuan-hē,親子關係,12910-1-1
12910,17548,1,這件代誌關係真重大，恁一定愛好好仔處理。,"Tsit kiānn tāi-tsì kuan-hē tsin tiōng-tāi, lín it-tīng ài hó-hó-á tshú-lí.",這件事情關係很重大，你們一定要好好處理。,12910-2-1
12912,17550,1,鏡框有雕刻花樣，看起來真媠款。,"Kiànn-khing ū tiau-khik hue-iūnn, khuànn--khí-lâi tsin suí-khuán.",鏡框有雕刻花樣，看起來很好看。,12912-1-1
12913,17551,1,你會當按呢想，實在真難得。,"Lí ē-tàng án-ne siūnn, si̍t-tsāi tsin lân-tit.",你能這麼想，實在是很難得。,12913-1-1
12914,17552,1,關稅減輕，生理有較好做。,"Kuan-suè kiám-khin, sing-lí ū khah hó tsò.",關稅減輕，生意有比較好做。,12914-1-1
12916,17554,1,你講遐爾濟，害我聽甲霧嗄嗄。,"Lí kóng hiah-nī tsē, hāi guá thiann kah bū-sà-sà.",你說那麼多，害我聽得毫無頭緒一片混亂。,12916-1-1
12921,17560,1,這个鏡頭共伊活潑的模樣攏表現出來矣。,Tsit ê kiànn-thâu kā i hua̍t-phuat ê bôo-iūnn lóng piáu-hiān--tshut-lâi--ah.,這個鏡頭將他活潑的樣子都表現出來了。,12921-2-1
12923,17562,1,年歲有矣，目睭霧霧，物件攏看袂清楚。,"Nî-huè ū--ah, ba̍k-tsiu bū-bū, mi̍h-kiānn lóng khuànn bē tshing-tshó.",有年紀了，雙眼朦朧，東西都看不清楚。,12923-1-1
12923,17563,1,你看我殕殕，我看你霧霧。,"Lí khuànn guá phú-phú, guá khuànn lí bū-bū.",你看不起我，我看你也不怎麼樣。,12923-2-1
12924,17564,1,押韻,ah-ūn,押韻,12924-1-1
12924,17565,1,歌韻,kua-ūn,和諧的歌聲或曲調,12924-2-1
12925,17566,1,下願,hē-guān,許願,12925-1-1
12925,17566,2,心願,sim-guān,心願,12925-1-2
12926,17567,1,分類,hun-luī,分類,12926-1-1
12927,17568,1,你莫騙我喔！,Lí mài phiàn--guá--ooh!,你不要騙我喔！,12927-1-1
12927,17569,1,囡仔騙袂恬！,Gín-á phiàn bē tiām!,無法將小孩哄到安靜！,12927-2-1
12928,17570,1,一兩日無剃，規面就鬍鬍。,"Tsi̍t nn̄g ji̍t bô thì, kui bīn tō hôo-hôo.",一二天沒剃鬍子，就滿臉鬍鬚了。,12928-1-1
12929,17571,1,伊真𠢕騙囡仔。,I tsin gâu phiàn-gín-á.,他很會哄小孩。,12929-1-1
12929,17572,1,阮老母咧替人騙囡仔。,Guán lāu-bú teh thè lâng phiàn-gín-á.,我母親在替人照顧小孩。,12929-2-1
12931,17574,1,你物件囥顛倒矣。,Lí mi̍h-kiānn khǹg tian-tò--ah.,你東西放倒反了。,12931-1-1
12931,17575,1,伊無欲來，阮顛倒較歡喜。,"I bô beh lâi, guán tian-tò khah huann-hí.",他不來，我們反而較高興。,12931-2-1
12931,17576,1,你話毋通顛倒講。,Lí uē m̄-thang tian-tò kóng.,你說話不要顛倒是非。,12931-3-1
12932,17577,1,你毋咧老顛倒！,Lí m̄ teh lāu-thian-tho̍h!,你莫不是老糊塗了！,12932-1-1
12933,17578,1,騙鬼毋捌食水。,Phiàn-kuí m̄ bat tsia̍h tsuí.,騙鬼沒喝過水。為不相信對方所言的俏皮話。,12933-1-1
12934,17579,1,這是我小小的願望。,Tse sī guá sió-sió ê guān-bōng.,這是我小小的願望。,12934-1-1
12935,17580,1,金光黨的騙術真高明，巧巧人嘛會去予伊騙去。,"Kim-kong-tóng ê phiàn-su̍t tsin ko-bîng, khiáu-khiáu-lâng mā ē khì hōo i phiàn--khì.",金光黨的騙術真高明，聰明人也會被騙。,12935-1-1
12936,17581,1,這件代誌我願意做。,Tsit kiānn tāi-tsì guá guān-ì tsò.,這件事情我願意做。,12936-1-1
12938,17583,1,假死鯪鯉張狗蟻。,Ké sí lâ-lí tng káu-hiā.,穿山甲裝死想引螞蟻過來以供自己食用，形容人示弱設陷阱陷害他人。,12938-1-1
12939,17584,1,伊生本鬍鬚，若無逐工剾喙鬚就規面鬍鬍。,"I senn-pún hôo-tshiu, nā bô ta̍k-kang khau tshuì-tshiu tō kui bīn hôo-hôo.",他生得一臉落腮鬍，如果沒有每天刮鬍子就會滿臉鬍渣。,12939-1-1
12940,17585,1,紅麴,âng-khak,紅麴,12940-1-1
12940,17585,2,白麴,pe̍h-khak,白麴,12940-1-2
12941,17586,1,伊睏甲齁齁叫。,I khùn kah honn-honn-kiò.,他睡得鼾聲連連。,12941-1-1
12942,17587,1,一龐遐大龐！,Tsi̍t phiāng hiah tuā-phiāng!,一個人那麼大塊頭！,12942-1-1
12945,17590,1,眾人一直共伊苦勸伊才落軟。,Tsìng-lâng it-ti̍t kā i khóo-khǹg i tsiah lo̍h-nńg.,大家一直苦勸他他才放軟。,12945-1-1
12946,17591,1,勸世,khuàn sè,勸世,12946-1-1
12947,17592,1,這个老師對學生真嚴。,Tsit ê lāu-su tuì ha̍k-sing tsin giâm.,這個老師對學生很嚴格。,12947-1-1
12948,17593,1,是你毋著呢，閣敢來嚷！,"Sī lí m̄-tio̍h--neh, koh kánn lâi jiáng!",是你不對耶，還敢來大聲叫罵！,12948-1-1
12948,17593,2,兩个相嚷,nn̄g ê sio-jiáng,兩個人大聲吵架,12948-1-2
12948,17593,3,伊是按怎咧嚷你？,I sī-án-tsuánn teh jiáng--lí?,他為什麼斥責你？,12948-1-3
12949,17594,1,手不動三寶。,Tshiú put tāng sam-pó.,指高貴得完全不必工作。三寶指金寶、銀寶和錢寶。,12949-1-1
12951,17597,1,保險箱囥真濟寶貝。,Pó-hiám-siunn khǹg tsin tsē pó-puè.,保險箱放很多寶貝。,12951-1-1
12951,17598,1,伊是我的心肝寶貝，啥人都袂使共伊欺負。,"I sī guá ê sim-kuann pó-puè, siánn-lâng to bē-sái kā i khi-hū.",他是我的心肝寶貝，誰都不能欺負他。,12951-2-1
12953,17600,1,病情真嚴重。,Pēnn-tsîng tsin giâm-tiōng.,病情很嚴重。,12953-1-1
12954,17601,1,評審嚴格，逐家就無話講。,"Phîng-sím giâm-keh, ta̍k-ke tō bô uē kóng.",評審嚴格，大家就無話可說了。,12954-1-1
12955,17602,1,彼个囡仔真寶惜𪜶阿母留予伊的相片。,Hit ê gín-á tsin pó-sioh in a-bú lâu hōo i ê siòng-phìnn.,那個小孩子很愛惜他母親留給他的相片。,12955-1-1
12956,17603,1,以勸善為目的。,Í khuàn-siān uî bo̍k-ti̍k.,以勸善為目的。,12956-1-1
12957,17604,1,逐家講笑爾爾，你莫遐爾嚴肅啦！,"Ta̍k-ke kóng-tshiò niā-niā, lí mài hiah-nī giâm-siok--lah!",大家說笑而已，你不要那麼嚴肅啦！,12957-1-1
12958,17605,1,你這个意見真寶貴。,Lí tsit ê ì-kiàn tsin pó-kuì.,你這個意見很寶貴。,12958-1-1
12959,17606,1,逐擺𪜶兩翁仔某冤家，攏著我去共𪜶勸解。,"Ta̍k-pái in nn̄g ang-á-bóo uan-ke, lóng tio̍h guá khì kā in khuàn-kái.",每次他們夫妻吵架，都要我去替他們排解。,12959-1-1
12960,17607,1,寶劍配英雄。,Pó-kiàm phuè ing-hiông.,寶劍配英雄。,12960-1-1
12961,17608,1,這个囡仔真孽潲。,Tsit ê gín-á tsin gia̍t-siâu.,這個小孩很頑皮。,12961-1-1
12962,17609,1,兩角找五分，覺悟。這是一句孽譎仔話。,"Nn̄g kak tsāu gōo hun, kak-ngōo. Tse sī tsi̍t kù gia̍t-khiat-á-uē.",兩角找五分，實付一角五，簡稱「角五」，諧音「覺悟」。這是閩南語歇後語的例子。,12962-1-1
12963,17611,1,伊生做真懸。,i senn-tsò tsin kuân.,他長得很高。,12963-1-1
12963,17611,2,山真懸,suann tsin kuân,山真高聳,12963-1-2
12963,17612,1,伊有六尺懸。,I ū la̍k tshioh kuân.,他有六尺高。,12963-2-1
12963,17613,1,價數真懸。,Kè-siàu tsin kuân.,價格真貴。,12963-3-1
12963,17614,1,伊學歷真懸。,I ha̍k-li̍k tsin kuân.,他學歷很高。,12963-4-1
12964,17615,1,阮兜的祖產攏予大伯攔去。,Guán tau ê tsóo-sán lóng hōo tuā-peh ânn--khì.,我們家祖傳的財產都被大伯獨占光了。,12964-1-1
12964,17616,1,攔孤人,ânn koo-lâng,袒護某一方,12964-2-1
12964,17617,1,代誌攏伊攔去做。,Tāi-tsì lóng i ânn-khì tsò.,事情都是他搶著做。,12964-3-1
12965,17618,1,米攕,bí-tshiám,插入米袋中的尖叉子，為取樣的工具。,12965-1-1
12965,17619,1,攕煙腸,tshiám ian-tshiâng,叉起香腸,12965-2-1
12965,17620,1,李仔攕,lí-á-tshiám,李子串，用李子做的糖葫蘆。,12965-3-1
12965,17621,1,一攕玉蘭花。,Tsi̍t tshiám gio̍k-lân-hue.,一串玉蘭花。,12965-4-1
12966,17622,1,稻仔佈了傷櫳。,Tiū-á pòo liáu siunn lang.,稻子種得太稀疏了。,12966-1-1
12966,17622,2,頭毛櫳,thâu-mn̂g lang,頭髮稀疏的樣子,12966-1-2
12967,17623,1,魚仔瀳倚來。,Hî-á tshînn uá--lâi.,成群的魚一起擁上來。,12967-1-1
12968,17624,1,流瀾,lâu-nuā,流口水,12968-1-1
12969,17625,1,火爐,hué-lôo,火爐,12969-1-1
12969,17625,2,瓦斯爐,gá-suh-lôo,瓦斯爐,12969-1-2
12969,17626,1,羊肉爐,iûnn-bah-lôo,羊肉爐,12969-2-1
12969,17626,2,牛肉爐,gû-bah-lôo,牛肉爐,12969-2-2
12969,17627,1,金爐,kim-lôo,金爐,12969-3-1
12969,17627,2,香爐,hiunn-lôo,香爐,12969-3-2
12970,17628,1,這本冊欲獻予我的爸母。,Tsit pún tsheh beh hiàn hōo guá ê pē-bú.,這本書要獻給我父母。,12970-1-1
12971,17629,1,扒癢,pê-tsiūnn,搔癢,12971-1-1
12972,17630,1,我一定欲佮你拚一下懸低！,Guá it-tīng beh kah lí piànn tsi̍t-ē kuân-kē!,我一定要和你比拼個高下！,12972-1-1
12973,17631,1,徛懸山看馬相踢。,Khiā kuân suann khuànn bé sio-that.,站在高山上看馬相踢。比喻隔山觀虎鬥，保持中立。,12973-1-1
12976,17634,1,犯罪的人會予人掠入去櫳仔內。,Huān-tsuē ê lâng ē hōo lâng lia̍h ji̍p-khì lông-á-lāi.,犯罪的人會被抓進去監獄裡。,12976-1-1
12977,17635,1,今年爐主是啥人？,Kin-nî lôo-tsú sī siánn-lâng?,今年的爐主是什麼人？,12977-1-1
12980,17638,1,這隻椅仔懸度啥款？,Tsit tsiah í-á kuân-tōo siánn-khuán?,這把椅子高度如何？,12980-1-1
12981,17639,1,軍師獻計,kun-su hiàn kè,軍師獻計,12981-1-1
12982,17640,1,獻敬神明,hiàn-kìng sîn-bîng,祭拜神明,12982-1-1
12983,17641,1,頭家共伊漲懸價。,Thâu-ke kā i tiùnn kuân kè.,老闆把價錢抬高了。,12983-1-1
12985,17643,1,共彼條菜頭礤礤咧。,Kā hit tiâu tshài-thâu tshuah-tshuah--leh.,把那條蘿蔔刨成絲。,12985-1-1
12985,17644,1,菜礤仔,tshài-tshuah-á,把蔬果刨成絲的廚房器具,12985-2-1
12986,17645,1,金仔礦,kim-á-khòng,金礦,12986-1-1
12987,17646,1,新鞋礪破皮。,Sin ê lè-phuà phuê.,新鞋子剛穿的時候，容易跟皮膚產生摩擦而造成破皮。,12987-1-1
12988,17647,1,礬牛皮,huân gû-phuê,鞣製牛皮,12988-1-1
12988,17648,1,濁水用礬坐清。,Lô tsuí iōng huân tsē-tshing.,濁水用明礬淨化。,12988-2-1
12989,17649,1,花籃,hue-nâ,花籃,12989-1-1
12989,17649,2,竹籃,tik-nâ,竹籃,12989-1-2
12989,17650,1,一籃柑仔,tsi̍t nâ kam-á,一籃橘子,12989-2-1
12990,17651,1,捾籃仔去買菜。,Kuānn nâ-á khì bé tshài.,提籃子去買菜。,12990-1-1
12991,17652,1,食一碗礤冰，涼一下。,"Tsia̍h tsi̍t uánn tshuah-ping, liâng--tsi̍t-ē.",吃一碗刨冰，清涼一下。,12991-1-1
12994,17655,1,今年的大考競爭甲真劇烈。,Kin-nî ê tuā-khó kīng-tsing kah tsin ki̍k-lia̍t.,今年的大考競爭得很劇烈。,12994-1-1
12996,17657,1,伊對籃球運動真有興趣。,I tuì nâ-kiû ūn-tōng tsin ū hìng-tshù.,他對籃球運動很有興趣。,12996-1-1
12998,17659,1,代先籌備好勢，代誌才好做。,"Tāi-sing tiû-pī hó-sè, tāi-tsì tsiah hó tsò.",事先籌備好，事情才好做。,12998-1-1
13001,17662,1,伊扞一間礦業公司。,I huānn tsi̍t king khòng-gia̍p kong-si.,他掌管一間礦業公司。,13001-1-1
13004,17665,1,番薯礤簽煮糜真好食。,Han-tsî tshuah-tshiam tsú muê tsin hó-tsia̍h.,番薯刨絲煮粥真好吃。,13004-1-1
13006,17667,1,歇十分鐘了，逐家繼續開會。,"Hioh tsa̍p hun-tsing liáu, ta̍k-ke kè-sio̍k khui-huē.",休息十分鐘後，大家繼續開會。,13006-1-1
13008,17669,1,兩隻牛咧相觸。,Nn̄g tsiah gû teh sio-tak.,兩隻牛用角互牴。,13008-1-1
13008,17670,1,伊予牛觸著。,I hōo gû tak--tio̍h.,他被牛頂到。,13008-2-1
13008,17671,1,𪜶兩个人真愛相觸。,In nn̄g ê lâng tsin ài sio-tak.,他們兩個很喜歡吵架。,13008-3-1
13009,17672,1,走運動埕我攏贏伊，考試伊攏贏我。,"Tsáu ūn-tōng-tiânn guá lóng iânn--i, khó-tshì i lóng iânn--guá.",運動場跑步我都贏他，但考試卻都是他贏我。,13009-1-1
13010,17673,1,踢著石頭煞躄落去。,That-tio̍h tsio̍h-thâu suah phih--lo̍h-khì.,踢到石頭臉朝下仆倒。,13010-1-1
13010,17674,1,躄佇塗跤,phih tī thôo-kha,跌在地上,13010-2-1
13011,17675,1,辮頭毛,pīnn thâu-mn̂g,編辮子,13011-1-1
13011,17675,2,辮草索,pīnn tsháu-soh,編草繩,13011-1-2
13016,17680,1,毋通去觸犯著伊的禁忌。,M̄-thang khì tshiok-huān-tio̍h i ê kìm-khī.,不要去觸犯了他的禁忌。,13016-1-1
13017,17681,1,呵咾甲會觸舌。,O-ló kah ē tak-tsi̍h.,讚美到嘖嘖有聲。,13017-1-1
13018,17682,1,我警告你，這馬上好莫惹我！,"Guá kíng-kò--lí, tsit-má siōng-hó mài jiá--guá!",我警告你，現在最好別惹我！,13018-1-1
13018,17683,1,學生若做毋著代誌會去予學校記警告。,Ha̍k-sing nā tsò m̄-tio̍h tāi-tsì ē khì hōo ha̍k-hāu kì kíng-kò.,如果學生做錯事會被學校記警告。,13018-2-1
13019,17684,1,風颱欲來矣，咱著愛提高警戒。,"Hong-thai beh lâi--ah, lán tio̍h-ài thê-ko kíng-kài.",颱風要來了，我們必須要提高警覺。,13019-1-1
13023,17688,1,伊共我譬相甲無一地好。,I kā guá phì-siùnn kah bô tsi̍t tè hó.,他把我數落得一無是處。,13023-1-1
13024,17689,1,若照按呢看來，伊較占贏面。,"Nā tsiàu án-ne khuànn--lâi, i khah tsiàm iânn-bīn.",如果照這樣看來，他比較有勝算。,13024-1-1
13026,17691,1,覺悟著過去做了毋著。,Kak-ngōo-tio̍h kuè-khì tsò liáu m̄-tio̍h.,覺悟到過去做得不對。,13026-1-1
13027,17692,1,這改的議案真重要，你一定愛來開會。,"Tsit kái ê gī-àn tsin tiōng-iàu, lí it-tīng ài lâi khui-huē.",這次的議案很重要，你一定要來開會。,13027-1-1
13028,17693,1,這馬罕得看著人用蠓捽仔咧趕胡蠅矣。,Tsit-má hán-tit khuànn-tio̍h lâng īng báng-sut-á teh kuánn hôo-sîn--ah.,現在很少看到人拿蚊拍在趕蒼蠅了。,13028-1-1
13029,17694,1,發風颱警報。,Huat hong-thai kíng-pò.,發布颱風警報。,13029-1-1
13030,17695,1,講伊規工若干樂是一个譬喻。,Kóng i kui-kang ná kan-lo̍k sī tsi̍t ê phì-jū.,說他整天像陀螺一樣忙是一種比喻。,13030-1-1
13031,17696,1,議場內逐家輪流表示家己的意見。,Gī-tiûnn-lāi ta̍k-ke lûn-liû piáu-sī ka-kī ê ì-kiàn.,議場內大家輪流表達自己的意見。,13031-1-1
13033,17698,1,議會是民意代表開會的場所。,Gī-huē sī bîn-ì tāi-piáu khui-huē ê tiûnn-sóo.,議會是民意代表開會的場所。,13033-1-1
13034,17699,1,熱天用蠓罩才袂予蠓仔叮。,Jua̍h-thinn īng báng-tà tsiah bē hōo báng-á tìng.,夏天用蚊帳才不會被蚊子叮。,13034-1-1
13035,17700,1,警察指揮交通。,Kíng-tshat tsí-hui kau-thong.,警察指揮交通。,13035-1-1
13037,17702,1,人民有議論政府的政策的自由。,Jîn-bîn ū gī-lūn tsìng-hú ê tsìng-tshik ê tsū-iû.,人民有評論政府政策的自由。,13037-1-1
13038,17704,1,譬論講你若做市長，你欲按怎來改革市政。,"Phì-lūn-kóng lí nā tsò tshī-tiúnn, lí beh án-tsuánn lâi kái-kik tshī-tsìng.",假設你當了市長，你要怎樣來改革市政。,13038-2-1
13039,17705,1,伊根本都無愛你，是按怎你到今仔日猶未覺醒？,"I kin-pún to bô ài--lí, sī-án-tsuánn lí kàu kin-á-ji̍t iáu-buē kak-tshénn?",他根本就不愛你，為什麼你到今天還沒覺醒？,13039-1-1
13041,17707,1,敲鐘,khau tsing,敲鐘,13041-1-1
13041,17708,1,時鐘,sî-tsing,時鐘,13041-2-1
13043,17711,1,飄揚,phiau-iông,飄揚,13043-1-1
13044,17712,1,饒命,jiâu-miā,饒命,13044-1-1
13047,17715,1,請你饒赦伊。,Tshiánn lí jiâu-sià--i.,請你原諒他。,13047-1-1
13050,17718,1,彼个少年的看著誠飄撇。,Hit ê siàu-liân--ê khuànn tio̍h tsiânn phiau-phiat.,那個年輕人看起來很瀟灑。,13050-1-1
13052,17720,1,傷鹹,siunn kiâm,太鹹,13052-1-1
13052,17721,1,做人真鹹,tsò-lâng tsin kiâm,為人很吝嗇、小氣,13052-2-1
13055,17724,1,笑詼齣,tshiò-khue-tshut,喜劇,13055-1-1
13055,17724,2,苦齣,khóo-tshut,苦情戲,13055-1-2
13055,17725,1,一齣戲,tsi̍t tshut hì,一齣戲,13055-2-1
13055,17726,1,你共我舞這齣的。,Lí kā guá bú tsit tshut--ê.,你給我惹這種麻煩。,13055-3-1
13057,17728,1,鹹卵配糜,kiâm-nn̄g phuè muê,吃粥配鹹鴨蛋,13057-1-1
13058,17729,1,試鹹汫,tshì kiâm-tsiánn,試試味道如何,13058-1-1
13077,17748,1,湯煮甲鹹篤篤，是欲按怎食？,"Thng tsú kah kiâm-tok-tok, sī beh án-tsuánn tsia̍h?",湯煮得這麼鹹，要怎麼喝？,13077-1-1
13077,17749,1,伊做人鹹篤篤。,I tsò-lâng kiâm-tok-tok.,他為人很吝嗇。,13077-2-1
13079,17751,1,伊的齣頭誠濟。,I ê tshut-thâu tsiânn tsē.,他的花樣很多。,13079-1-1
13079,17752,1,今仔日毋知欲搬啥物齣頭。,Kin-á-ji̍t m̄ tsai beh puann siánn-mih tshut-thâu.,今天不知道要演什麼戲碼。,13079-2-1
13084,17757,1,規嚾規黨,kui-uang-kui-tóng,同流合汙、狐群狗黨,13084-1-1
13084,17758,1,嚾規黨,uang-kui-tóng,成群結黨,13084-2-1
13085,17759,1,攑頭,gia̍h-thâu,抬頭,13085-1-1
13085,17759,2,攑手,gia̍h-tshiú,舉手,13085-1-2
13085,17760,1,攑筆,gia̍h pit,拿筆,13085-2-1
13085,17760,2,攑箸,gia̍h tī,拿筷子,13085-2-2
13086,17761,1,予鬼仔攝去。,Hōo kuí-á liap--khì.,被鬼捉走。,13086-1-1
13086,17762,1,攝屎,liap-sái,忍住大便,13086-2-1
13086,17762,2,攝尿,liap-jiō,憋尿,13086-2-2
13086,17763,1,花攝去矣！,Hue liap--khì--ah!,花枯萎了！,13086-3-1
13086,17763,2,面攏攝矣！,Bīn lóng liap--ah!,臉都起皺紋了！,13086-3-2
13086,17764,1,裙攝襇,kûn liap-kíng,將裙子打摺子,13086-4-1
13086,17764,2,紙攝痕,tsuá liap hûn,紙摺紋痕,13086-4-2
13086,17765,1,講著錢就攝落去矣。,Kóng-tio̍h tsînn tō liap--lo̍h-khì--ah.,說到錢就退縮了。,13086-5-1
13087,17767,1,櫼入去,tsinn--ji̍p-khì,擠進去,13087-2-1
13087,17768,1,用塗豆櫼塗豆油。,Iōng thôo-tāu tsinn thôo-tāu-iû.,用花生榨花生油。,13087-3-1
13088,17769,1,牛欄,gû-nuâ,牛欄,13088-1-1
13088,17769,2,井欄,tsénn-nuâ,井欄,13088-1-2
13089,17770,1,灇水,tsâng-tsuí,沖水,13089-1-1
13089,17770,2,灇身軀,tsâng sin-khu,淋浴、沖澡,13089-1-2
13090,17771,1,灌酒,kuàn tsiú,灌酒,13090-1-1
